"Line","Name","OriginName","Opened","Elev","Lat","Lon","X","Y"
"14","Botanichesky Sad","Ботанический сад","10/09/2016","0","55.846","37.6413","600","184"
"14","Rostokino","Ростокино","10/09/2016","0","55.84","37.6653","658","204"
"14","Belokamennaya","Белокаменная","10/09/2016","0","55.83","37.7006","692","224"
"14","Bulvar Rokossovskogo","Бульвар Рокоссовского","10/09/2016","0","55.8172","37.7369","722","247"
"14","Lokomotiv","Локомотив","10/09/2016","0","55.8039","37.746","756","280"
"14","Izmaylovo","Измайлово","10/09/2016","0","55.7886","37.7428","812","370"
"14","Sokolinaya Gora","Соколиная гора","11/10/2016","0","55.7714","37.7451","818","386"
"14","Shosse Entuziastov","Шоссе Энтузиастов","10/09/2016","0","55.759","37.7463","837","474"
"14","Andronovka","Андроновка","10/09/2016","0","55.7411","37.7344","835","534"
"14","Nizhegorodskaya","Нижегородская","10/09/2016","0","55.7322","37.7282","831","559"
"14","Novokhokhlovskaya","Новохохловская","10/09/2016","0","55.7239","37.7161","824","589"
"14","Ugreshskaya","Угрешская","10/09/2016","0","55.7183","37.6978","745","720"
"14","Dubrovka","Дубровка","11/10/2016","0","55.7183","37.6978","696","758"
"14","Avtozavodskaya","Автозаводская","10/09/2016","0","55.7063","37.6631","597","804"
"14","ZIL","ЗИЛ","10/09/2016","0","55.6983","37.6483","567","810"
"14","Verkhnie Kotly","Верхние Котлы","10/09/2016","0","55.69","37.6189","508","816"
"14","Krymskaya","Крымская","10/09/2016","0","55.69","37.605","424","805"
"14","Ploshchad Gagarina","Площадь Гагарина","10/09/2016","0","55.7069","37.5858","346","772"
"14","Luzhniki","Лужники","10/09/2016","0","55.7203","37.5631","251","686"
"14","Kutuzovskaya","Кутузовская","10/09/2016","0","55.7408","37.5333","198","582"
"14","Delovoy Tsentr","Деловой центр","10/09/2016","0","55.7472","37.5322","186","518"
"14","Shelepikha","Шелепиха","10/09/2016","0","55.7575","37.5256","187","458"
"14","Khoroshyovo","Хорошёво","10/09/2016","0","55.7772","37.5072","202","389"
"14","Zorge","Зорге","04/11/2016","0","55.7878","37.5045","210","368"
"14","Panfilovskaya","Панфиловская","08/11/2016","0","55.7991","37.4988","229","332"
"14","Streshnevo","Стрешнево","10/09/2016","0","55.8136","37.4869","270","275"
"14","Baltiyskaya","Балтийская","10/09/2016","0","55.8258","37.4961","298","250"
"14","Koptevo","Коптево","01/11/2016","0","55.8397","37.5203","362","206"
"14","Likhobory","Лихоборы","10/09/2016","0","55.8472","37.5513","397","191"
