"","Line","Name","OriginName","Opened","Elev","Lat","Lon"
"180","10","Petrovsko-Razumovskaya","Петровско-Разумовская","1991-03-01",-61,55.8148,37.7342
"181","10","Fonvizinskaya","Фонвизинская","2016-09-16",-65,55.8148,37.7342
"182","10","Butyrskaya","Бутырская","2016-09-16",-60,55.8148,37.7342
"183","10","Maryina Roshcha","Марьина Роща","2010-06-19",-60,55.8148,37.7342
"184","10","Dostoyevskaya","Достоевская","2010-06-19",-60,55.8148,37.7342
"185","10","Trubnaya","Трубная","2007-08-30",-60,55.8148,37.7342
"186","10","Sretensky Bulvar","Сретенский бульвар","2007-12-29",-60,55.8148,37.7342
"187","10","Chkalovskaya","Чкаловская","1995-12-28",-51,55.8148,37.7342
"188","10","Rimskaya","Римская","1995-12-28",-54,55.8148,37.7342
"189","10","Krestyanskaya Zastava","Крестьянская застава","1995-12-28",-47,55.8148,37.7342
"190","10","Dubrovka","Дубровка","1999-12-11",-62,55.8148,37.7342
"191","10","Kozhukhovskaya","Кожуховская","1995-12-28",-12,55.8148,37.7342
"192","10","Pechatniki","Печатники","1995-12-28",-4,55.8148,37.7342
"193","10","Volzhskaya","Волжская","1995-12-28",-8,55.8148,37.7342
"194","10","Lyublino","Люблино","1996-12-25",-8,55.8148,37.7342
"195","10","Bratislavskaya","Братиславская","1996-12-25",-8,55.8148,37.7342
"196","10","Maryino","Марьино","1996-12-25",-8,55.8148,37.7342
"197","10","Borisovo","Борисово","2011-12-02",-10,55.8148,37.7342
"198","10","Shipilovskaya","Шипиловская","2011-12-02",-10,55.8148,37.7342
"199","10","Zyablikovo","Зябликово","2011-12-02",-15,55.8148,37.7342
"200","11","Delovoy Tsentr","Деловой центр","2018-02-26",NA,55.8148,37.7342
"201","11","Shelepikha","Шелепиха","2018-02-26",NA,55.8148,37.7342
"202","11","Khoroshyovskaya","Хорошёвская","2018-02-26",NA,55.8148,37.7342
"203","11","CSKA (Moscow Metro)","ЦСКА","2018-02-26",NA,55.8148,37.7342
"204","11","Petrovsky Park","Петровский парк","2018-02-26",NA,55.8148,37.7342
"205","11A","Kashirskaya","Каширская","1969-08-11",-7,55.8148,37.7342
"206","11A","Varshavskaya","Варшавская","1969-08-11",-9,55.8148,37.7342
"207","11A","Kakhovskaya","Каховская","1969-08-11",-8,55.8148,37.7342
"208","12","Bittsevsky Park","Битцевский парк","2014-02-27",-10,55.8148,37.7342
"209","12","Lesoparkovaya","Лесопарковая","2014-02-27",-10,55.8148,37.7342
"210","12","Ulitsa Starokachalovskaya","Улица Старокачаловская","2003-12-27",-10,55.8148,37.7342
"211","12","Ulitsa Skobelevskaya","Улица Скобелевская","2003-12-27",9.6,55.8148,37.7342
"212","12","Bulvar Admirala Ushakova","Бульвар Адмирала Ушакова","2003-12-27",9.6,55.8148,37.7342
"213","12","Ulitsa Gorchakova","Улица Горчакова","2003-12-27",9.6,55.8148,37.7342
"214","12","Buninskaya Alleya","Бунинская аллея","2003-12-27",9.6,55.8148,37.7342
"215","13","Timiryazevskaya","Тимирязевская","2004-11-20",6,55.8148,37.7342
"216","13","Ulitsa Milashenkova","Улица Милашенкова","2004-11-20",6,55.8148,37.7342
"217","13","Teletsentr","Телецентр","2004-11-20",6,55.8148,37.7342
"218","13","Ulitsa Akademika Korolyova","Улица Академика Королёва","2004-11-20",12,55.8148,37.7342
"219","13","Vystavochny Tsentr","Выставочный центр","2004-11-20",6,55.8148,37.7342
"220","13","Ulitsa Sergeya Eyzenshteyna","Улица Сергея Эйзенштейна","2004-11-20",6,55.8148,37.7342
"221","14","Okruzhnaya","Окружная","2016-09-10",NA,55.8148,37.7342
"222","14","Vladykino","Владыкино","2016-09-10",NA,55.8148,37.7342
"223","14","Botanichesky Sad","Ботанический сад","2016-09-10",NA,55.8148,37.7342
"224","14","Rostokino","Ростокино","2016-09-10",NA,55.8148,37.7342
"225","14","Belokamennaya","Белокаменная","2016-09-10",NA,55.8148,37.7342
"226","14","Bulvar Rokossovskogo","Бульвар Рокоссовского","2016-09-10",NA,55.8148,37.7342
